STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 14/08/22 18    4.4  -0.4  28.7
1236505 14/08/22 12    4.8   0.2  30.0
1236505 14/08/22 06    4.6   0.0  14.4
1236505 14/08/22 00    4.6  -0.1  16.9
1236505 13/08/22 18    4.7  -0.2  23.8
1236505 13/08/22 12    4.9   0.2  25.3
1236505 13/08/22 06    4.7  -0.1  10.0
1236505 13/08/22 00    4.8  -0.4  15.2
1236505 12/08/22 18    5.2   0.4  27.5
1236505 12/08/22 12    4.8  -0.1  27.2
1236505 12/08/22 06    4.9  -0.2   9.5
1236505 12/08/22 00    5.1  -0.1  15.2
1236505 11/08/22 18    5.2  -0.2  28.8
1236505 11/08/22 12    5.4   0.2  28.0
1236505 11/08/22 06    5.2  -0.2  10.0
1236505 11/08/22 00    5.4  -0.2  14.8
1236505 10/08/22 18    5.6   0.0  26.4
1236505 10/08/22 12    5.6   0.1  26.6
1236505 10/08/22 06    5.5  -0.1   9.7
1236505 10/08/22 00    5.6  -0.2  15.2
1236505 09/08/22 18    5.8   0.2  28.5
1236505 09/08/22 12    5.6  -0.1  28.5
1236505 09/08/22 06    5.7  -0.2   9.3
1236505 09/08/22 00    5.9  -0.3  14.9
1236505 08/08/22 18    6.2   0.4  28.4
1236505 08/08/22 12    5.8   0.0  28.7
1236505 08/08/22 06    5.8  -0.2   8.8
1236505 08/08/22 00    6.0  -0.1  13.6
1236505 07/08/22 18    6.1  -0.3  27.1
1236505 07/08/22 12    6.4   0.2  26.0
1236505 07/08/22 06    6.2  -0.2   7.4
1236505 07/08/22 00    6.4  -0.2  12.2
1236505 06/08/22 18    6.6   0.1  24.4
1236505 06/08/22 12    6.5   0.1  23.3
1236505 06/08/22 06    6.4   0.0  14.4
1236505 06/08/22 00    6.4   0.4  19.2
1236505 05/08/22 18    6.0   0.0  35.0
1236505 05/08/22 12    6.0  -0.4  34.2
1236505 05/08/22 06    6.4  -0.2  15.5
1236505 05/08/22 00    6.6   0.4  20.9
1236505 04/08/22 18    6.2   0.2  37.0
1236505 04/08/22 12    6.0  -0.7  36.3
1236505 04/08/22 06    6.7   0.1  15.2
1236505 04/08/22 00    6.6   0.5  20.2
1236505 03/08/22 18    6.1  -0.1  34.7
1236505 03/08/22 12    6.2  -0.4  33.6
1236505 03/08/22 06    6.6   0.1  13.6
1236505 03/08/22 00    6.5   0.3  18.1
1236505 02/08/22 18    6.2  -1.2  29.1
1236505 02/08/22 12    7.4   0.6  26.4
1236505 02/08/22 06    6.8   0.0  14.0
1236505 02/08/22 00    6.8  -0.2  16.6
1236505 01/08/22 18    7.0   0.0  21.5
1236505 01/08/22 12    7.0   0.3  22.4
1236505 01/08/22 06    6.7   0.2  15.4
1236505 01/08/22 00    6.5   0.0  18.8
1236505 31/07/22 18    6.5  -0.1  25.2
1236505 31/07/22 12    6.6  -0.5  26.0
1236505 31/07/22 06    7.1  -0.1  10.8
1236505 31/07/22 00    7.2  -0.1  15.0
1236505 30/07/22 18    7.3   0.0  18.0
1236505 30/07/22 12    7.3   1.0  18.8
1236505 30/07/22 06    6.3   0.1  16.1
1236505 30/07/22 00    6.2   0.2  16.7
1236505 29/07/22 18    6.0   0.4  26.5
1236505 29/07/22 12    5.6   0.0  24.9
1236505 29/07/22 06    5.6   0.1  13.3
1236505 29/07/22 00    5.5   0.5  14.5
1236505 28/07/22 18    5.0  -0.6  26.8
1236505 28/07/22 12    5.6  -0.2  24.7
1236505 28/07/22 06    5.8   0.0   7.7
1236505 28/07/22 00    5.8   0.0  12.0
1236505 27/07/22 18    5.8  -0.4  21.2
1236505 27/07/22 12    6.2   0.0  14.8
1236505 27/07/22 06    6.2   0.0  15.1
1236505 27/07/22 00    6.2  -0.2  18.4
1236505 26/07/22 18    6.4   0.5  27.2
1236505 26/07/22 12    5.9  -0.3  26.9
1236505 26/07/22 06    6.2  -0.2  20.1
1236505 26/07/22 00    6.4   0.7  24.5
1236505 25/07/22 18    5.7   0.2  36.4
1236505 25/07/22 12    5.5  -1.1  34.4
1236505 25/07/22 06    6.6  -0.2  14.0
1236505 25/07/22 00    6.8   0.8  19.1
1236505 24/07/22 18    6.0   0.0  32.6
1236505 24/07/22 12    6.0  -0.8  30.0
1236505 24/07/22 06    6.8   0.0  11.4
1236505 24/07/22 00    6.8  -0.4  15.6
1236505 23/07/22 18    7.2   1.0  22.8
