STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1221601 15/10/23 18   43.6   0.0   4.9
1221601 15/10/23 12   43.6   0.0  10.4
1221601 15/10/23 06   43.6  -0.1   0.9
1221601 15/10/23 00   43.7  -0.1   6.2
1221601 14/10/23 18   43.8   0.2  13.4
1221601 14/10/23 12   43.6   0.0  18.9
1221601 14/10/23 06   43.6   0.1  14.9
1221601 14/10/23 00   43.5  -0.2  12.4
1221601 13/10/23 18   43.7  -0.1  21.4
1221601 13/10/23 12   43.8   0.2  19.2
1221601 13/10/23 06   43.6   0.0  14.2
1221601 13/10/23 00   43.6   0.0  14.7
1221601 12/10/23 18   43.6  -0.1  16.7
1221601 12/10/23 12   43.7   0.2  18.9
1221601 12/10/23 06   43.5   0.0  10.2
1221601 12/10/23 00   43.5  -0.1  12.2
1221601 11/10/23 18   43.6  -0.3  21.4
1221601 11/10/23 12   43.9   0.1  20.9
1221601 11/10/23 06   43.8   0.0  10.2
1221601 11/10/23 00   43.8  -0.2  13.4
1221601 10/10/23 18   44.0  -0.4  20.0
1221601 10/10/23 12   44.4   0.0  18.2
1221601 10/10/23 06   44.4   0.2  13.2
1221601 10/10/23 00   44.2   0.1  10.2
1221601 09/10/23 18   44.1   0.1  14.0
1221601 09/10/23 12   44.0   0.2  15.2
1221601 09/10/23 06   43.8   0.2   9.2
1221601 09/10/23 00   43.6   0.0   9.2
1221601 08/10/23 18   43.6   0.0  10.0
1221601 08/10/23 12   43.6  -0.1  10.4
1221601 08/10/23 06   43.7   0.1  15.2
1221601 08/10/23 00   43.6  -0.1  15.6
1221601 07/10/23 18   43.7  -0.1  16.4
1221601 07/10/23 12   43.8   0.1  17.4
1221601 07/10/23 06   43.7   0.0   9.6
1221601 07/10/23 00   43.7  -0.1  11.2
1221601 06/10/23 18   43.8   0.0  16.4
1221601 06/10/23 12   43.8   0.2  16.2
1221601 06/10/23 06   43.6   0.0   1.6
1221601 06/10/23 00   43.6  -0.2   3.6
1221601 05/10/23 18   43.8  -0.1  14.0
1221601 05/10/23 12   43.9   0.1  14.9
1221601 05/10/23 06   43.8   0.0   1.6
1221601 05/10/23 00   43.8  -0.2   5.2
1221601 04/10/23 18   44.0  -0.1  15.2
1221601 04/10/23 12   44.1  -0.1  16.0
1221601 04/10/23 06   44.2   0.0   8.7
1221601 04/10/23 00   44.2   0.4  13.4
1221601 03/10/23 18   43.8   0.2  24.7
1221601 03/10/23 12   43.6   0.0  23.2
1221601 03/10/23 06   43.6   0.0   5.4
1221601 03/10/23 00   43.6  -0.2  10.0
1221601 02/10/23 18   43.8   0.0  24.4
1221601 02/10/23 12   43.8   0.1  22.4
1221601 02/10/23 06   43.7  -0.1   5.2
1221601 02/10/23 00   43.8   0.0   8.7
1221601 01/10/23 18   43.8   0.0  20.2
1221601 01/10/23 12   43.8   0.0  19.4
1221601 01/10/23 06   43.8   0.0   4.9
1221601 01/10/23 00   43.8   0.0   7.6
1221601 30/09/23 18   43.8   0.0  18.0
1221601 30/09/23 12   43.8  -0.1  18.4
1221601 30/09/23 06   43.9   0.0  14.7
1221601 30/09/23 00   43.9  -0.1  18.2
1221601 29/09/23 18   44.0   0.0  23.4
1221601 29/09/23 12   44.0   0.2  23.6
1221601 29/09/23 06   43.8  -0.1   6.2
1221601 29/09/23 00   43.9   0.0   9.6
1221601 28/09/23 18   43.9   3.3  22.9
1221601 28/09/23 12   40.6   0.2  22.4
1221601 28/09/23 06   40.4   0.0   6.7
1221601 28/09/23 00   40.4  -0.1  11.2
1221601 27/09/23 18   40.5  -0.1  22.4
1221601 27/09/23 12   40.6   0.1  19.2
1221601 27/09/23 06   40.5   0.0   8.7
1221601 27/09/23 00   40.5  -0.2  11.6
1221601 26/09/23 18   40.7   0.1  24.0
1221601 26/09/23 12   40.6   0.0  16.7
1221601 26/09/23 06   40.6   0.0   6.9
1221601 26/09/23 00   40.6   0.0   9.4
1221601 25/09/23 18   40.6  -0.2  20.4
1221601 25/09/23 12   40.8   0.2  14.9
1221601 25/09/23 06   40.6   0.1   3.2
1221601 25/09/23 00   40.5  -0.1   5.6
1221601 24/09/23 18   40.6  -0.2  16.9
1221601 24/09/23 12   40.8   0.2  18.2
1221601 24/09/23 06   40.6   0.0   3.2
1221601 24/09/23 00   40.6  -0.2   5.6
1221601 23/09/23 18   40.8   0.0  16.0
1221601 23/09/23 12   40.8   0.0  14.4
1221601 23/09/23 06   40.8   0.2   8.2
1221601 23/09/23 00   40.6   0.0  10.7
1221601 22/09/23 18   40.6   0.0  15.2
1221601 22/09/23 12   40.6   0.0  15.2
1221601 22/09/23 06   40.6   0.0  15.6
1221601 22/09/23 00   40.6   0.0  13.4
1221601 21/09/23 18   40.6  -0.2  24.0
1221601 21/09/23 12   40.8   0.2  24.4
1221601 21/09/23 06   40.6   0.0   8.2
1221601 21/09/23 00   40.6  -0.2  11.4
1221601 20/09/23 18   40.8  -4.0  23.6
1221601 20/09/23 12   44.8   0.0  22.2
1221601 20/09/23 06   44.8  -0.2   8.0
1221601 20/09/23 00   45.0   0.1  11.2
1221601 19/09/23 18   44.9  -0.1  20.2
1221601 19/09/23 12   45.0  -0.2  20.7
1221601 19/09/23 06   45.2   0.0  14.4
1221601 19/09/23 00   45.2   0.2  15.4
1221601 18/09/23 18   45.0   0.0  22.2
1221601 18/09/23 12   45.0   0.0  24.7
1221601 18/09/23 06   45.0   0.0  10.4
1221601 18/09/23 00   45.0   0.0  15.2
1221601 17/09/23 18   45.0   0.0  27.2
1221601 17/09/23 12   45.0   0.0  25.4
1221601 17/09/23 06   45.0   0.0   8.0
1221601 17/09/23 00   45.0   0.0  12.0
1221601 16/09/23 18   45.0  -0.8  24.9
1221601 16/09/23 12   45.8   0.0  22.7
1221601 16/09/23 06   45.8   0.0   7.6
1221601 16/09/23 00   45.8   0.1  12.0
1221601 15/09/23 18   45.7  -0.3  22.0
1221601 15/09/23 12   46.0   0.1  22.2
1221601 15/09/23 06   45.9   0.0   6.0
1221601 15/09/23 00   45.9  -0.1   9.2
1221601 14/09/23 18   46.0   0.0  18.9
1221601 14/09/23 12   46.0   0.0  17.6
1221601 14/09/23 06   46.0   0.0  15.4
1221601 14/09/23 00   46.0  -0.1  18.0
1221601 13/09/23 18   46.1   0.1  22.9
1221601 13/09/23 12   46.0  -0.2  23.6
1221601 13/09/23 06   46.2   0.1  14.0
1221601 13/09/23 00   46.1   0.1  16.4
1221601 12/09/23 18   46.0  -0.2  28.9
1221601 12/09/23 12   46.2   0.0  28.4
1221601 12/09/23 06   46.2   0.0  12.9
1221601 12/09/23 00   46.2  -0.1  16.2
1221601 11/09/23 18   46.3  -0.1  28.7
1221601 11/09/23 12   46.4   0.0  27.6
1221601 11/09/23 06   46.4  -0.2  11.4
1221601 11/09/23 00   46.6   0.2  14.4
1221601 10/09/23 18   46.4   0.0  29.4
1221601 10/09/23 12   46.4  -0.2  27.6
1221601 10/09/23 06   46.6  -0.1   9.6
1221601 10/09/23 00   46.7   0.0  13.6
1221601 09/09/23 18   46.7  -0.1  28.0
1221601 09/09/23 12   46.8  -0.1  26.0
1221601 09/09/23 06   46.9   0.0   8.7
1221601 09/09/23 00   46.9   0.0  12.7
1221601 08/09/23 18   46.9  -0.1  26.7
1221601 08/09/23 12   47.0   0.0  26.2
1221601 08/09/23 06   47.0  -0.1  10.0
1221601 08/09/23 00   47.1  -0.1  14.9
1221601 07/09/23 18   47.2  -0.2  26.9
1221601 07/09/23 12   47.4  -0.2  26.2
1221601 07/09/23 06   47.6  -0.1  10.0
1221601 07/09/23 00   47.7  -0.1  16.4
1221601 06/09/23 18   47.8   0.0  25.6
1221601 06/09/23 12   47.8   0.0  24.9
1221601 06/09/23 06   47.8   0.0   7.4
1221601 06/09/23 00   47.8   0.4  10.7
1221601 05/09/23 18   47.4  -0.8  24.0
1221601 05/09/23 12   48.2   0.0  22.9
1221601 05/09/23 06   48.2   0.0   8.7
1221601 05/09/23 00   48.2  -0.2  12.7
1221601 04/09/23 18   48.4  -0.1  23.4
1221601 04/09/23 12   48.5   0.1  21.6
1221601 04/09/23 06   48.4  -0.1   7.4
1221601 04/09/23 00   48.5  -0.1  11.6
1221601 03/09/23 18   48.6  -0.2  20.7
1221601 03/09/23 12   48.8   0.0  22.4
1221601 03/09/23 06   48.8   0.1  12.9
1221601 03/09/23 00   48.7  -0.2  16.0
1221601 02/09/23 18   48.9  -0.5  23.2
1221601 02/09/23 12   49.4   0.0  21.2
1221601 02/09/23 06   49.4   0.0  13.4
1221601 02/09/23 00   49.4   0.1  15.4
1221601 01/09/23 18   49.3   0.0  18.9
1221601 01/09/23 12   49.3   0.1  15.6
1221601 01/09/23 06   49.2   0.0  11.6
1221601 01/09/23 00   49.2   0.0  10.2
1221601 31/08/23 18   49.2  -0.2  18.0
1221601 31/08/23 12   49.4  -0.1  16.9
1221601 31/08/23 06   49.5   0.1  11.6
1221601 31/08/23 00   49.4   0.0  11.2
1221601 30/08/23 18   49.4  -0.2  17.6
1221601 30/08/23 12   49.6  -0.2  18.9
1221601 30/08/23 06   49.8   0.0  12.0
1221601 30/08/23 00   49.8   0.0  12.7
1221601 29/08/23 18   49.8  -0.2  15.4
1221601 29/08/23 12   50.0   0.2  14.4
1221601 29/08/23 06   49.8   0.1  10.9
1221601 29/08/23 00   49.7   0.1  10.7
1221601 28/08/23 18   49.6   0.0  13.6
1221601 28/08/23 12   49.6   0.0  15.4
1221601 28/08/23 06   49.6   0.0  14.0
1221601 28/08/23 00   49.6   0.2  15.4
1221601 27/08/23 18   49.4   0.0  19.2
1221601 27/08/23 12   49.4   0.0  18.7
1221601 27/08/23 06   49.4   0.0  15.4
1221601 27/08/23 00   49.4   0.0  17.6
1221601 26/08/23 18   49.4  -1.7  25.2
1221601 26/08/23 12   51.1  -0.4  24.7
1221601 26/08/23 06   51.5   0.3  18.4
1221601 26/08/23 00   51.2   0.1  17.4
1221601 25/08/23 18   51.1  -0.1  26.4
1221601 25/08/23 12   51.2  -0.3  28.9
1221601 25/08/23 06   51.5   0.3  18.7
1221601 25/08/23 00   51.2   0.4  18.7
1221601 24/08/23 18   50.8  -0.4  31.2
1221601 24/08/23 12   51.2  -0.4  28.4
1221601 24/08/23 06   51.6   0.4  12.9
1221601 24/08/23 00   51.2   0.1  18.4
1221601 23/08/23 18   51.1  -0.4  29.6
1221601 23/08/23 12   51.5  -0.3  26.4
1221601 23/08/23 06   51.8   0.2  16.4
1221601 23/08/23 00   51.6   0.2  22.2
1221601 22/08/23 18   51.4  -0.4  30.9
1221601 22/08/23 12   51.8  -0.3  30.0
1221601 22/08/23 06   52.1   0.2  16.9
1221601 22/08/23 00   51.9   0.3  20.7
1221601 21/08/23 18   51.6  -0.6  31.6
1221601 21/08/23 12   52.2  -0.4  28.0
1221601 21/08/23 06   52.6   0.2  18.0
1221601 21/08/23 00   52.4   0.1  20.7
1221601 20/08/23 18   52.3   0.3  27.4
1221601 20/08/23 12   52.0  -0.5  31.4
1221601 20/08/23 06   52.5   0.3  19.2
1221601 20/08/23 00   52.2   0.2  19.4
1221601 19/08/23 18   52.0  -0.4  31.4
1221601 19/08/23 12   52.4  -0.5  29.6
1221601 19/08/23 06   52.9   0.1  14.9
1221601 19/08/23 00   52.8   0.4  19.4
1221601 18/08/23 18   52.4  -0.2  29.4
1221601 18/08/23 12   52.6  -0.4  27.6
1221601 18/08/23 06   53.0   0.0  15.2
1221601 18/08/23 00   53.0   4.0  19.6
1221601 17/08/23 18   49.0  -0.2  29.2
1221601 17/08/23 12   49.2  -0.7  28.4
1221601 17/08/23 06   49.9   0.1  15.2
1221601 17/08/23 00   49.8  -0.1  18.2
1221601 16/08/23 18   49.9   0.5  28.7
1221601 16/08/23 12   49.4  -0.6  24.4
1221601 16/08/23 06   50.0   0.2  16.9
1221601 16/08/23 00   49.8   0.2  19.6
1221601 15/08/23 18   49.6   0.4  25.2
1221601 15/08/23 12   49.2  -0.7  30.0
1221601 15/08/23 06   49.9   0.1  16.4
1221601 15/08/23 00   49.8   0.5  20.7
1221601 14/08/23 18   49.3  -0.1  30.7
1221601 14/08/23 12   49.4  -0.8  28.4
1221601 14/08/23 06   50.2   0.0  18.0
1221601 14/08/23 00   50.2   0.2  18.4
1221601 13/08/23 18   50.0   0.4  26.2
1221601 13/08/23 12   49.6  -0.6  26.0
1221601 13/08/23 06   50.2   0.1  15.4
1221601 13/08/23 00   50.1   0.5  17.2
1221601 12/08/23 18   49.6   0.4  29.6
1221601 12/08/23 12   49.2  -0.7  27.2
1221601 12/08/23 06   49.9   0.3  12.0
1221601 12/08/23 00   49.6   0.3  15.4
1221601 11/08/23 18   49.3   0.0  28.7
1221601 11/08/23 12   49.3  -0.4  24.9
1221601 11/08/23 06   49.7   0.3   8.0
1221601 11/08/23 00   49.4   0.0  11.6
1221601 10/08/23 18   49.4   0.0  22.7
1221601 10/08/23 12   49.4  -0.6  21.2
1221601 10/08/23 06   50.0   0.4   9.4
1221601 10/08/23 00   49.6  -0.3  11.2
1221601 09/08/23 18   49.9  -0.1  22.2
1221601 09/08/23 12   50.0   0.0  16.0
